2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12.226,12.239,11.549,11.024,11.144,11.31,11.375,11.714,11.737,11.75
11.24,10.99,10.446,9.936,9.441,9.139,9.25,9.565,9.344,8.049
85.39,83.486,73.793,73.019,74.323,72.487,75.597,76.697,75.236,70.944
2.572,2.714,2.37,2.358,1.661,1.354,1.571,1.616,1.763,1.707
4.231,4.493,4.649,4.866,4.875,4.994,5.296,5.544,5.708,5.506
50.016,48.139,46.483,45.747,50.048,49.101,53.537,50.014,45.375,39.747
50.715,46.115,46.857,38.965,45.806,47.046,47.591,46.48,46.41,46.875
7.547,7.033,6.038,6.151,6.306,6.772,6.977,6.872,6.98,6.426
35.022,33.26,33.377,31.252,31.485,32.154,33.989,33.859,31.905,29.782
16.197,15.589,14.88,12.742,12.849,13.698,13.807,13.793,13.492,12.391
290.855,284.021,274.722,242.655,194.751,202.465,178.901,189.095,177.321,168.826
84.429,80.009,71.006,68.655,66.797,64.25,66.384,64.62,59.007,51.202
49.01,44.972,42.363,42.092,45.112,45.953,48.154,47.992,48.154,46.279
402.895,382.368,352.628,332.68,343.796,343.407,339.362,334.844,328.066,293.159
0.874,0.909,0.921,0.903,0.906,0.902,0.891,0.953,0.958,0.88
18.825,21.336,20.932,20.995,23.119,24.152,23.207,24.952,26.938,25.034
6.992,7.007,7.327,7.383,7.093,7.466,7.583,7.71,7.774,6.567
27.163,28.271,28.385,26.359,28.894,26.884,25.681,26.6,23.904,23.967
10.288,10.904,11.007,11.627,12.263,11.55,10.656,10.59,10.959,10.051
4.644,4.576,4.372,4.643,5.201,5.287,5.317,4.92,5.019,4.578
6.897,6.903,6.478,6.527,7.019,7.063,6.354,6.764,7.801,6.714
9.925,7.348,7.717,7.481,9.492,10.122,7.208,8.955,8.912,5.608
159.631,160.574,167.043,163.846,170.282,169.277,166.267,157.16,148.785,137.12
45.838,48.582,49.28,50.618,51.994,56.057,54.491,54.998,58.296,48.766
17.975,17.97,19.584,20.947,21.265,22.797,23.428,23.98,23.451,19.784
35.253,36.953,40.003,41.782,35.463,39.442,36.704,40.246,38.74,33.453
7.39,8.238,7.077,6.199,6.444,6.268,6.164,6.294,6.512,5.861
83.909,88.552,87.668,84.273,88.486,92.881,94.307,94.415,101.393,93.021
1.059,0.906,0.878,0.898,1.014,0.975,0.911,1.036,0.987,0.717
0.172,0.15,0.161,0.163,0.175,0.171,0.161,0.164,0.169,0.134
0.118,0.106,0.094,0.101,0.11,0.103,0.091,0.093,0.096,0.072
0.438,0.408,0.361,0.344,0.353,0.402,0.392,0.418,0.422,0.388
30.563,31.907,32.046,32.082,32.26,31.216,32.814,32.361,34.427,31.767
