T,Lon,Lat,Y1,Y2,Y3,X1,X2,X3,X4,X5,X6,X7,X8
2011,53.847818,23.424076,0.63835135,181.985,350666.06,58.0355996,0.11,4.467755562,232,0.100150051,120.743523,2.911406197,84.423
2011,55.923255,21.512583,0.56650805,54.174,77497.53,68.18724872,0,0.009693053,0,0.204840912,10.36145396,3.350859698,76.183
2011,47.576927,40.143105,0.52496582,28.601,65951.63,61.73284436,3.55,12.60099567,418,0.016471753,110.9763362,2.222796161,53.637
2011,69.345116,30.375321,0.54158424,140.623,213587.41,20.50178809,46.76,5.268659195,139,0.049433285,257.6311981,3.46585391,35.202
2011,50.637772,25.930414,0.36419498,28.057,28776.6,49.51719039,0,0.698826597,21,0.041903765,1580.28292,5.921999472,88.695
2011,121.774017,12.879721,1.0066168,82.605,234216.93,31.33868278,33.71,23.0559949,301,0.137680214,323.09727,1.484297057,45.522
2011,43.356892,42.315407,0.57455157,6.836,15107.44,17.95460522,31.53,40.61591596,159,0.052899388,65.72030162,3.496218089,55.919
2011,66.923684,48.019573,0.56287595,248.006,192626.51,37.2660881,1.38,1.158437938,1821,0.129583582,6.132978479,3.619679347,56.9
2011,127.510093,40.339852,1.0183261,591.393,1253223.04,34.45096726,1.35,65.61374627,187788,0.19599572,513.8042803,0.125593901,81.923
2011,104.990963,12.565679,0.57125471,5.563,12829.54,22.1418106,63.99,58.01466123,2,0.194793271,82.56223091,1.844711736,20.663
2011,51.183884,25.354826,0.61290835,69.636,167775.27,73.46916076,0.14,0,0,0.035124759,155.3980189,2.326892873,98.602
2011,47.481766,29.31166,1.0065216,83.519,154068.12,72.70570141,0,0.350729517,0,0.073367671,176.421156,2.619399263,100
2011,35.862285,33.854721,0.60291177,22.045,39927.13,14.50621607,6.18,13.48445748,0,0.037175443,493.1628543,2.00311768,87.484
2011,101.975766,4.210484,1.0440881,207.851,297951.96,39.82426873,2.16,57.98497641,1948,0.302138293,88.82706742,3.185756187,71.609
2011,103.846656,46.862496,1.0232641,11.172,10409.8,31.33374856,4.04,9.107573137,0,0.617947751,1.762038574,4.918458568,67.963
2011,90.356331,23.684994,0.49532146,55.502,128637.94,25.0452996,38.44,14.4991442,41,0.06420512,1153.960244,2.109333607,31.225
2011,84.124008,28.394857,0.61106519,5.197,21573.86,13.39346807,86.95,41.59072201,11,0.055395318,190.2085734,1.165462648,17.108
2011,45.079162,23.885942,0.59060496,467.085,671238.84,63.67636249,0.01,0.454484135,1242,0.095818715,14.02571766,3.809807549,82.302
2011,71.276093,38.861034,0.55304927,2.506,6522.73,22.46874906,59.98,2.946270363,22,0.317199272,55.62174193,8.659969829,26.521
2011,100.992541,15.870032,0.52086773,237.697,370819.14,37.98139827,22.96,39.28556049,1140,0.174569872,134.4963613,3.269454214,44.698
