2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3.268,3.045,3.033,3.02,2.728,2.891,3.126,3.077,2.87,2.893
0.779,0.68,0.766,0.793,0.817,0.844,0.867,0.89,0.901,0.93
21.194,19.479,20.212,20.462,18.51,19.586,20.952,21.121,19.812,19.777
0.436,0.427,0.452,0.473,0.44,0.498,0.547,0.547,0.541,0.571
3.082,2.774,2.623,2.543,2.354,2.538,2.904,2.923,2.614,2.645
10.765,10.214,10.591,10.844,9.746,10.352,11.035,10.984,10.344,10.482
7.958,7.123,7.491,7.542,6.654,7.139,7.932,7.9,7.317,7.172
0.847,0.842,0.859,0.873,0.763,0.847,0.916,0.934,0.908,0.94
5.682,5.307,5.415,5.531,5.006,5.342,5.738,5.768,5.506,5.565
2.094,2.002,2.083,2.117,1.936,2.054,2.195,2.198,2.086,2.114
53.757,50.025,48.228,37.501,32.511,39.558,47.496,47.597,46.49,43.871
11.523,10.441,10.651,10.698,9.692,10.362,11.127,11.114,10.424,10.519
10.709,9.844,10.036,10.401,9.461,9.818,10.858,10.719,9.899,9.802
60.426,57.619,60.217,61.931,55.656,58.714,62.517,61.8,57.581,58.502
0.31,0.293,0.291,0.293,0.292,0.296,0.302,0.299,0.302,0.288
10.475,10.48,10.5,10.732,10.948,11.166,11.428,11.14,11.132,10.996
5.286,5.09,5.178,5.075,5.32,5.35,5.308,5.254,5.35,5.426
12.254,11.971,11.654,11.826,12.068,12.215,12.183,11.593,11.595,14.778
9.42,9.405,9.391,10.029,10.386,10.441,10.516,10.556,10.768,11.083
6.226,6.307,6.349,6.564,6.822,6.884,6.893,6.714,6.755,7.204
6.629,6.662,6.487,6.549,6.716,6.776,6.806,6.672,6.572,6.595
3.147,2.973,2.759,2.741,2.914,2.951,2.998,3.008,2.878,2.819
49.502,45.919,42.892,42.617,47.202,45.624,48.982,42.222,39.907,42.79
34.56,33.273,31.631,31.034,30.176,31.614,34.993,34.619,33.726,33.658
11.982,12.038,12.071,11.869,11.379,11.428,12.42,12.245,11.888,11.74
16.245,16.313,16.402,16.676,16.604,17.171,17.707,17.604,17.723,17.826
3.977,3.846,3.746,3.616,3.4,3.695,4.017,3.724,3.415,3.337
21.058,18.723,18.204,17.492,17.065,18.549,20.717,20.233,18.779,19.531
1.001,0.959,0.937,1.023,0.967,0.982,1.046,0.983,0.977,0.957
0.203,0.208,0.214,0.21,0.21,0.207,0.218,0.216,0.216,0.217
0.109,0.109,0.104,0.101,0.104,0.1,0.104,0.104,0.1,0.093
0.275,0.264,0.259,0.264,0.264,0.281,0.308,0.293,0.261,0.28
5.222,4.801,4.781,4.83,4.379,4.788,5.316,5.084,4.943,5.111
