2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
23459.52,25503.06,28037.24,27141.02,21251.22,20958.41,25873.6,26311.51,23308.67,18110.64
12172.31,12367.36,12953.54,13940.77,10950.39,10097.78,10000.4,11239.17,11314.95,10715.4
2437.98,2510.13,1691.54,1894.81,1695.83,1825.02,2072.35,2220.98,2221.3,2326.72
12890.76,12319.83,12776.22,13228.15,11386.85,11861.2,13019.69,15156.42,15401.83,15162.73
23213.99,23019.15,25115.75,26634.08,22890.76,24072.83,26924.39,30624.72,31081.9,31370.4
431685.22,409401.82,430190.98,442584.82,381971.15,395837.35,417261.15,454991.17,444621.18,435225.24
61757.79,65685.1,75527.98,78813.84,56454.73,47722.66,54726.6,60031.16,64410.11,61371.76
57678.24,54300.86,55810.14,57082.01,50782,53953.9,59199.45,66399.6,68911.93,70404.36
10494.63,9745.25,10817.71,11362.27,10064.52,10672.47,11307.06,12683.07,12606.34,12363.58
18644.72,17221.19,18178.5,18558.34,16211.54,16913.33,18080.12,20484.05,20482.6,20226.03
528301.27,498523.57,515764.73,539087.65,477111.29,470022.57,524645.83,588779.85,596058.47,599442.78
2045925.61,2208295.77,2292473.25,2059241.97,1363481.06,1276786.98,1574199.39,1657328.76,1693114.99,1493075.89
4544.52,4087.73,4466.04,4594.02,4054.71,4377.03,4856.63,5506.94,5542.05,4770
229562.73,208857.72,211685.62,209358.83,188033.05,196272.07,218628.94,249000.54,252548.18,245974.56
63169.91,57192.35,59032.07,58423.98,50242.78,52397.49,56323.84,61330.48,61329.27,57624.94
27474.38,28169.9,30204.78,31386.9,27263.09,28083.6,30483.81,34429.02,34343.96,34601.74
43535.05,42927.45,46523.42,48533.66,41435.53,43047.31,47758.74,53751.41,54760.62,56914.83
61696.28,59776.38,65203.28,68804.81,60071.58,62216.89,65712.18,71000.36,69825.64,73992.59
183326.74,170635.81,189790.23,199712.29,177882.42,185286.85,210146.75,243316.05,251017.8,251362.53
9638.92,9462.24,10551.6,11626.28,11091.42,11668.25,13489.38,15298,15881.26,15046.14
8414.35,8709.14,9496.72,9510.2,7745.24,8071.47,9669.74,11253.73,11735.77,11531.97
245117.99,216224.24,226433.86,229901.96,199394.07,206426.15,221357.87,242313.12,239986.92,229031.86
49258.14,43309.25,48394.24,47062.21,39655.96,40692.64,44179.06,50640.66,51514.24,53356.48
27565.47,24978.51,23961.14,23226.78,19909.19,21046.95,22946.73,25597.3,25945.19,25008.27
99492.92,94253.18,98935.22,101437.05,88900.88,89952.7,95649.97,106137.92,105710.05,106728.92
51583.87,46577.79,48415.66,49997.19,43107.51,44766.72,48589.1,54177.88,54331.59,53706.8
169333.05,182592.42,190498.81,133503.41,91030.96,93355.99,112090.53,130891.09,153883.05,156617.72
282995.94,242029.31,238907.69,235458.13,195683.53,193148.15,199844.41,212049.45,205257.01,188926
141999.96,128857.37,135684.32,141033.84,125174.17,128609.82,143112.2,160565.64,164020.46,157227.09
2294994.3,2086957.66,2141924.09,2162009.62,1836637.71,1877071.69,1961796.2,2091932.43,2011302.2,1897210.47
4657.7,4610.1,4677.25,4696.34,4724.69,4832.81,4981.59,5097.28,5324.25,4671.8
58029.75,60681.54,62682.16,67179.91,71164.83,75704.72,79997.98,85555.39,88941.37,78844.66
42762.62,47231.65,50949.67,52016.41,56441.92,58847.02,60516.04,62420.16,64417.67,62395.61
68990,73141,77148,80656,87133,91370,96851,100050,103428,107352
17710.32,18528.6,18499.71,19756.49,20979.77,21717.62,23136.23,24067.75,25089.94,23827.86
9774.31,10532.01,10982.98,11880.43,12756.71,13286.08,13785.91,13025.27,12699.03,12678.16
20283.78,21386.15,21990.96,22593.47,23438.24,24191.43,24979.19,26020.85,26881.14,24930.08
14444.66,14807.09,14264.2,13899.23,14188.94,14077.11,14808.99,15730.79,15830.77,13812.42
530163.28,545982.38,552025.14,526319.67,594749.29,557531.38,643628.67,524819.9,447754.69,385540.41
171761.74,192649,201175.47,200789.36,189805.3,191895.94,211007.21,222597.03,228325.85,201947.6
23963.03,27084.5,30659.34,32996.19,33000.2,33941.13,37508.64,40287.65,40895.32,36629.84
79276.66,87924.54,95129.66,101726.33,99290.38,99937.7,104295.86,107562.01,108108.01,99291.12
47962.44,51264.39,57531.23,57236.01,53274.3,57236.65,64233.97,65203.07,62048.59,53666.91
251224.86,267175.87,277239.46,259405.2,242496.65,249298.72,276364.93,295402.65,278493.31,254096.1
3774.53,3972.01,4189.92,4857.22,4682.55,4930.2,5353.4,5581.43,5481.69,4477.03
737.4,760.55,797.73,796.7,824.16,843.93,884.85,878.45,912.95,868.9
414.52,470.71,450.64,439.88,437.01,420.54,460.38,488.91,512.05,484.8
770.15,747.84,758.3,772.32,730.87,780.89,880.06,914.74,936.53,909.42
168291.36,176206.66,190906.58,201313.5,178064.47,188838.34,206623.76,211886.69,213091.99,212569.78
