0.161,0.01,0.28,0.118,,,,,
0,0.205,0.058,0.209,,,,,
0.584,0.262,0.077,0.03,,,,,
0.412,0.674,0.045,0.066,,,,,
,,,,,8,13,37,54
,,,,8,9.016,1.04,82.88,50.976
,,,,13,0,31.98,27.898,146.718
,,,,37,172.864,126.022,102.564,59.94
,,,,54,177.984,473.148,89.91,188.892
,,,,,,,,
,,,,,block1,block2,block3,block4
,,,,block1,9,1,83,51
,,,,block2,0,32,28,147
,,,,block3,173,126,103,60
,,,,block4,178,473,90,189
